Entidad Federativa,Municipio,CVEGEO,Rango de pobreza (%),Rango de pobreza extrema (%)
Aguascalientes,Aguascalientes,0100100010229,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010233,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010286,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010290,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010303,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010322,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010337,"(50, 70]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010341,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010356,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010360,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010375,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001038A,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010407,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010411,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010426,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010430,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010445,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001045A,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010464,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010483,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010498,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010500,"(34, 50]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010515,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,010010001052A,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010534,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010549,"[ 0, 18]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010553,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010568,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010572,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010587,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010591,"(18, 34]","[ 0, 20]"
Aguascalientes,Aguascalientes,0100100010604,"[ 0, 18]","[ 0, 20]"
